data,favorite_cnt,id,reply_to_id,retweet_cnt,text,user,user_id
Wed Sep 18 17:11:10 +0000 2019,3,1174370291675480070,,0,@MaximeLeMaxime3 Bel essai ! Vous avez parfaitement cadré ! Il faut désormais attendre le tirage au sort pour découvrir si vous remportez le ballon officiel de la #RWC2019 !  👏 [LIEN],TF1,103821088
Wed Sep 18 17:11:09 +0000 2019,0,1174370286432587776,,1,@AdrienTsonga7 C’est raté ! 😞 Vous y étiez presque ! N’hésitez pas à rejouer ! [LIEN],TF1,103821088
Wed Sep 18 17:08:16 +0000 2019,1,1174369558653755393,,0,@babycath59 Mince… Votre tir passe à quelques centimètres ! N’hésitez pas à retenter votre chance ! 🏈 [LIEN],TF1,103821088
Wed Sep 18 17:08:15 +0000 2019,0,1174369554253996033,,0,"@babycath59 Dommage, il aurait sûrement fallu tirer de l’autre côté ! N’hésitez pas à retenter votre chance ! 🤔 [LIEN]",TF1,103821088
Wed Sep 18 17:08:14 +0000 2019,1,1174369553364725761,,0,"@Shannlove1969 Félicitations ! Votre tir est parfait, vous faites désormais partie du tirage au sort pour gagner le ballon officiel de la #RWC2019 signé ! 👏 [LIEN]",TF1,103821088
Wed Sep 18 17:08:14 +0000 2019,1,1174369552928530433,,0,"@kevnyver Bravooo, vous venez de transformer un essai pour votre équipe favorite ! Vous faites désormais partie du tirage au sort pour ce match !  👏 [LIEN]",TF1,103821088
Wed Sep 18 17:08:14 +0000 2019,1,1174369552525922304,,0,@Lecatamjr38 Mince… Votre tir passe à quelques centimètres ! N’hésitez pas à retenter votre chance ! 🏈 [LIEN],TF1,103821088
Wed Sep 18 17:08:14 +0000 2019,3,1174369551468941312,,0,"@Shannlove1969 Bravooo, vous venez de transformer un essai pour votre équipe favorite ! Vous faites désormais partie du tirage au sort pour ce match !  👏 [LIEN]",TF1,103821088
Wed Sep 18 17:08:13 +0000 2019,0,1174369549132734470,,0,@MaximeLeMaxime3 Mince… Votre tir passe à quelques centimètres ! N’hésitez pas à retenter votre chance ! 🏈 [LIEN],TF1,103821088
Wed Sep 18 17:08:13 +0000 2019,0,1174369548730077184,,0,"@Anthony_Bateman Dommage, il aurait sûrement fallu tirer de l’autre côté ! N’hésitez pas à retenter votre chance ! 🤔 [LIEN]",TF1,103821088
Wed Sep 18 17:08:13 +0000 2019,0,1174369547366932480,,0,@Gyom63 Mince… Votre tir passe à quelques centimètres ! N’hésitez pas à retenter votre chance ! 🏈 [LIEN],TF1,103821088
Wed Sep 18 17:08:13 +0000 2019,0,1174369546993577986,,0,@emiliebud Presque… Essayez encore pour remporter le ballon officiel de la #RWC2019 signé ! [LIEN],TF1,103821088
Wed Sep 18 17:08:13 +0000 2019,0,1174369546599317507,,0,@DhaeseAnthony C’est raté ! 😞 Vous y étiez presque ! N’hésitez pas à rejouer ! [LIEN],TF1,103821088
Wed Sep 18 16:58:53 +0000 2019,0,1174367199114477568,,0,@nico_dmr974 C’est raté ! 😞 Vous y étiez presque ! N’hésitez pas à rejouer ! [LIEN],TF1,103821088
Wed Sep 18 16:58:12 +0000 2019,0,1174367025440940032,,0,"@ricaume Mince, votre tir passe juste à côté ! N’hésitez pas à retenter votre chance pour remporter le ballon officiel de la #RWC2019 signé ! [LIEN]",TF1,103821088
Wed Sep 18 16:57:59 +0000 2019,0,1174366971456086017,,0,"@CatherineRaud Dommage, il aurait sûrement fallu tirer de l’autre côté ! N’hésitez pas à retenter votre chance ! 🤔 [LIEN]",TF1,103821088
Wed Sep 18 16:57:57 +0000 2019,0,1174366965286064129,,0,@VaulxdeWooz C’est raté ! 😞 Vous y étiez presque ! N’hésitez pas à rejouer ! [LIEN],TF1,103821088
Wed Sep 18 16:56:59 +0000 2019,0,1174366718707322880,,0,@kevnyver C’est raté ! 😞 Vous y étiez presque ! N’hésitez pas à rejouer ! [LIEN],TF1,103821088
Wed Sep 18 16:56:54 +0000 2019,0,1174366701380673542,,0,@ZFarmeur Mince… Votre tir passe à quelques centimètres ! N’hésitez pas à retenter votre chance ! 🏈 [LIEN],TF1,103821088
Wed Sep 18 16:56:54 +0000 2019,1,1174366700982198275,,0,"@jeromederemaux Félicitations ! Votre tir est parfait, vous faites désormais partie du tirage au sort pour gagner le ballon officiel de la #RWC2019 signé ! 👏 [LIEN]",TF1,103821088
Wed Sep 18 16:56:54 +0000 2019,0,1174366699963002885,,1,"@TomPawlo Dommage, il aurait sûrement fallu tirer de l’autre côté ! N’hésitez pas à retenter votre chance ! 🤔 [LIEN]",TF1,103821088
Wed Sep 18 16:56:54 +0000 2019,0,1174366699820331008,,0,@mariedemichel C’est raté ! 😞 Vous y étiez presque ! N’hésitez pas à rejouer ! [LIEN],TF1,103821088
Wed Sep 18 16:56:54 +0000 2019,0,1174366698385879045,,0,@LouisPtln Presque… Essayez encore pour remporter le ballon officiel de la #RWC2019 signé ! [LIEN],TF1,103821088
Wed Sep 18 16:56:54 +0000 2019,0,1174366698138415104,,0,@GrandesOndes C’est raté ! 😞 Vous y étiez presque ! N’hésitez pas à rejouer ! [LIEN],TF1,103821088
Wed Sep 18 16:56:54 +0000 2019,0,1174366697509330945,,0,"@Carole_Pay Dommage, il aurait sûrement fallu tirer de l’autre côté ! N’hésitez pas à retenter votre chance ! 🤔 [LIEN]",TF1,103821088
Wed Sep 18 16:56:53 +0000 2019,0,1174366696666226688,,0,@DarkTapas C’est raté ! 😞 Vous y étiez presque ! N’hésitez pas à rejouer ! [LIEN],TF1,103821088
Wed Sep 18 16:56:53 +0000 2019,0,1174366696162975747,,0,@VaulxdeWooz C’est raté ! 😞 Vous y étiez presque ! N’hésitez pas à rejouer ! [LIEN],TF1,103821088
Wed Sep 18 16:54:33 +0000 2019,1,1174366106682843139,,0,@GrandesOndes Mince… Votre tir passe à quelques centimètres ! N’hésitez pas à retenter votre chance ! 🏈 [LIEN],TF1,103821088
Wed Sep 18 16:54:33 +0000 2019,1,1174366106246635520,,1,@TomPawlo Presque… Essayez encore pour remporter le ballon officiel de la #RWC2019 signé ! [LIEN],TF1,103821088
